pid,category,type,brand,gender,colour,size,stock,cp,sp
1071,Lace Up Shoes,Shoes,Gucci,Men,Black,8,54,500,600
1054,High Top Sneakers,Sneakers,Gucci,Men,Green,9,38,700,750
1095,High Top Sneakers,Sneakers,Gucci,Men,White,8,100,400,500
1010,Low Top Sneakers,Sneakers,Gucci,Men,White,9,21,300,400
1055,Low Top Sneakers,Sneakers,Gucci,Men,Cream,7,15,400,600
1072,Canvas Slide Sandals,Sandals,Gucci,Men,Light Brown,8,4,800,1000
1077,Loafers,Loafers,Gucci,Men,Black,7,89,350,450
1098,Boots,Boots,Gucci,Men,Black,9,60,300,500
1020,Slippers,Slipper,Gucci,Men,Black,8,22,400,550
1001,Tennis Sneaker,Sneakers,Gucci,Women,Dark Blue,7,14,450,600
1017,Canvas Slide Sandals,Sandals,Gucci,Women,White,8,74,370,450
1007,High Heels Sandals,Sandals,Gucci,Women,Golden,8,12,350,500
1057,Mid Heels  Sandals,Sandals,Gucci,Women,Pink,7,2,400,450
1009,Slide Sandal,Sandals,Gucci,Women,Grey,8,5,420,550
1111,Knee high Boot,Boots,Gucci,Women,Cream Black,8,46,300,500
1070,Boots with Interlocking,Boots,Gucci,Women,Black,9,33,350,600
